"Severity","ThreadID","Date","Time","Application","Message"
"Information","catalina-exec-2","03/23/19","20:50:50",,"C:\ColdFusion10\cfusion\logs\application.log initialized"
"Information","catalina-exec-2","03/23/19","20:50:50",,"Session rotated successfully."
"Information","catalina-exec-12","03/23/19","21:08:34",,"Session rotated successfully."
"Information","catalina-exec-10","03/23/19","21:47:22",,"Session rotated successfully."
"Information","catalina-exec-10","03/23/19","21:47:22","CFADMIN","Invalid login for Default User"
"Information","catalina-exec-4","03/23/19","21:48:49",,"Session rotated successfully."
"Information","catalina-exec-4","03/23/19","21:52:48",,"Session rotated successfully."
"Information","catalina-exec-4","03/23/19","22:04:00",,"Session rotated successfully."
"Information","catalina-exec-4","03/23/19","22:11:56",,"Session rotated successfully."
"Information","catalina-exec-4","03/23/19","22:15:25",,"Session rotated successfully."
"Information","catalina-exec-4","03/23/19","22:40:22",,"Session rotated successfully."
"Information","catalina-exec-3","03/23/19","22:43:37",,"Session rotated successfully."
"Information","catalina-exec-4","03/24/19","00:51:19",,"Session rotated successfully."
"Warning","catalina-exec-4","03/24/19","00:51:40","CFADMIN","There was an error while verifying the token. Either the session timed out or un-authenticated access is suspected."
"Information","catalina-exec-4","03/24/19","00:51:56",,"Session rotated successfully."
"Warning","catalina-exec-3","03/24/19","00:52:41","CFADMIN","There was an error while verifying the token. Either the session timed out or un-authenticated access is suspected."
"Information","catalina-exec-4","03/24/19","00:53:14",,"Session rotated successfully."
"Warning","catalina-exec-6","03/24/19","00:53:39","CFADMIN","There was an error while verifying the token. Either the session timed out or un-authenticated access is suspected."
"Information","catalina-exec-3","03/24/19","08:37:19",,"Session rotated successfully."
"Warning","catalina-exec-1","03/24/19","08:37:52","CFADMIN","There was an error while verifying the token. Either the session timed out or un-authenticated access is suspected."
"Information","catalina-exec-2","03/24/19","08:38:38",,"Session rotated successfully."
"Warning","catalina-exec-3","03/24/19","08:42:17","CFADMIN","There was an error while verifying the token. Either the session timed out or un-authenticated access is suspected."
"Information","catalina-exec-3","03/24/19","08:42:26",,"Session rotated successfully."
"Warning","catalina-exec-3","03/24/19","08:42:34","CFADMIN","There was an error while verifying the token. Either the session timed out or un-authenticated access is suspected."
"Information","catalina-exec-3","03/24/19","08:42:41",,"Session rotated successfully."
"Warning","catalina-exec-3","03/24/19","08:42:48","CFADMIN","There was an error while verifying the token. Either the session timed out or un-authenticated access is suspected."
"Information","catalina-exec-3","03/24/19","08:42:52",,"Session rotated successfully."
"Error","catalina-exec-2","03/24/19","08:44:05","cfadmin","Element UPDATES is undefined in SESSION. The specific sequence of files included or processed is: C:\ColdFusion10\cfusion\wwwroot\CFIDE\administrator\updates\installer_input.cfm, line: 33 "
