"Severity","ThreadID","Date","Time","Application","Message"
"Information","catalina-exec-2","03/23/19","20:50:50",,"C:\ColdFusion10\cfusion\logs\audit.log initialized"
"Information","catalina-exec-2","03/23/19","20:50:50","CFADMIN","User admin logged in."
"Information","catalina-exec-3","03/23/19","20:57:02",,"User admin added datasource cw3_ds."
"Information","catalina-exec-10","03/23/19","20:59:41",,"User admin added datasource cw3_ds."
"Information","catalina-exec-10","03/23/19","21:00:06",,"User admin added datasource cw3_ds."
"Information","catalina-exec-1","03/23/19","21:07:26",,"User admin added datasource cw3_ds."
"Information","catalina-exec-12","03/23/19","21:08:11",,"User admin added datasource cw3_ds."
"Information","catalina-exec-12","03/23/19","21:08:27","CFADMIN","User admin logged out"
"Information","catalina-exec-12","03/23/19","21:08:34","CFADMIN","User admin logged in."
"Information","catalina-exec-3","03/23/19","21:10:59",,"User admin deleted datasource cw3_ds."
"Information","catalina-exec-10","03/23/19","21:47:19","CFADMIN","User admin logged out"
"Information","catalina-exec-4","03/23/19","21:48:49","CFADMIN","User admin logged in."
"Information","catalina-exec-4","03/23/19","21:52:48","CFADMIN","User admin logged in."
"Information","catalina-exec-4","03/23/19","22:04:00","CFADMIN","User admin logged in."
"Information","catalina-exec-4","03/23/19","22:11:56","CFADMIN","User admin logged in."
"Information","catalina-exec-4","03/23/19","22:15:25","CFADMIN","User admin logged in."
"Information","catalina-exec-5","03/23/19","22:15:50",,"User admin added datasource cw3_ds."
"Information","catalina-exec-3","03/23/19","22:19:13",,"User admin added datasource cw3_ds."
"Information","catalina-exec-4","03/23/19","22:40:22","CFADMIN","User admin logged in."
"Information","catalina-exec-5","03/23/19","22:40:44",,"User admin added datasource cw3_ds."
"Information","catalina-exec-3","03/23/19","22:43:37","CFADMIN","User admin logged in."
"Information","catalina-exec-3","03/23/19","22:44:33",,"User admin added datasource cw3_ds."
"Information","catalina-exec-9","03/23/19","22:55:56","CFADMIN","User admin logged out"
"Information","catalina-exec-4","03/24/19","00:51:19","CFADMIN","User admin logged in."
"Information","catalina-exec-4","03/24/19","00:51:56","CFADMIN","User admin logged in."
"Information","catalina-exec-4","03/24/19","00:53:14","CFADMIN","User admin logged in."
"Information","catalina-exec-3","03/24/19","08:37:19","CFADMIN","User admin logged in."
"Information","catalina-exec-2","03/24/19","08:38:38","CFADMIN","User admin logged in."
"Information","catalina-exec-3","03/24/19","08:42:26","CFADMIN","User admin logged in."
"Information","catalina-exec-3","03/24/19","08:42:41","CFADMIN","User admin logged in."
"Information","catalina-exec-3","03/24/19","08:42:52","CFADMIN","User admin logged in."
