"Severity","ThreadID","Date","Time","Application","Message"
"Information","pool-2-thread-1","03/23/19","20:44:00",,"C:\ColdFusion10\cfusion\logs\eventgateway.log initialized"
"Information","pool-2-thread-1","03/23/19","20:44:00",,"Event Gateway Disabled."
"Information","pool-2-thread-1","03/23/19","21:48:09",,"Event Gateway Disabled."
"Information","pool-2-thread-1","03/23/19","21:52:16",,"Event Gateway Disabled."
"Information","pool-2-thread-1","03/23/19","22:03:47",,"Event Gateway Disabled."
"Information","pool-2-thread-1","03/23/19","22:11:26",,"Event Gateway Disabled."
"Information","pool-2-thread-1","03/23/19","22:15:02",,"Event Gateway Disabled."
"Information","pool-2-thread-1","03/23/19","22:39:39",,"Event Gateway Disabled."
"Information","pool-2-thread-1","03/23/19","22:42:02",,"Event Gateway Disabled."
"Information","pool-2-thread-1","03/24/19","00:51:08",,"Event Gateway Disabled."
"Information","pool-2-thread-1","03/24/19","08:36:35",,"Event Gateway Disabled."
