"Severity","ThreadID","Date","Time","Application","Message"
"Information","catalina-exec-3","03/23/19","20:51:08",,"C:\ColdFusion10\cfusion\logs\http.log initialized"
"Information","catalina-exec-3","03/23/19","20:51:08",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-3","03/23/19","20:51:11",,"HTTP request completed  {Status Code=200 ,Time taken=2698 ms}"
"Information","catalina-exec-4","03/23/19","21:48:50",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-4","03/23/19","21:48:52",,"HTTP request completed  {Status Code=200 ,Time taken=2503 ms}"
"Information","catalina-exec-5","03/23/19","21:52:49",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-5","03/23/19","21:52:51",,"HTTP request completed  {Status Code=200 ,Time taken=2394 ms}"
"Information","catalina-exec-5","03/23/19","22:04:01",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-5","03/23/19","22:04:06",,"HTTP request completed  {Status Code=200 ,Time taken=4376 ms}"
"Information","catalina-exec-5","03/23/19","22:11:57",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-5","03/23/19","22:12:00",,"HTTP request completed  {Status Code=200 ,Time taken=2478 ms}"
"Information","catalina-exec-5","03/23/19","22:15:26",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-5","03/23/19","22:15:28",,"HTTP request completed  {Status Code=200 ,Time taken=2524 ms}"
"Information","catalina-exec-5","03/23/19","22:40:23",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-5","03/23/19","22:40:25",,"HTTP request completed  {Status Code=200 ,Time taken=2364 ms}"
"Information","catalina-exec-5","03/23/19","22:43:38",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-5","03/23/19","22:43:40",,"HTTP request completed  {Status Code=200 ,Time taken=2114 ms}"
"Information","catalina-exec-5","03/24/19","00:51:20",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-5","03/24/19","00:51:22",,"HTTP request completed  {Status Code=200 ,Time taken=2228 ms}"
"Information","catalina-exec-4","03/24/19","00:51:57",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-4","03/24/19","00:51:58",,"HTTP request completed  {Status Code=200 ,Time taken=911 ms}"
"Information","catalina-exec-6","03/24/19","00:53:15",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-6","03/24/19","00:53:16",,"HTTP request completed  {Status Code=200 ,Time taken=969 ms}"
"Information","catalina-exec-5","03/24/19","08:37:19",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-5","03/24/19","08:37:22",,"HTTP request completed  {Status Code=200 ,Time taken=2777 ms}"
"Information","catalina-exec-6","03/24/19","08:38:39",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-6","03/24/19","08:38:39",,"HTTP request completed  {Status Code=200 ,Time taken=819 ms}"
"Information","catalina-exec-7","03/24/19","08:41:36",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-7","03/24/19","08:41:37",,"HTTP request completed  {Status Code=200 ,Time taken=744 ms}"
"Information","catalina-exec-3","03/24/19","08:42:27",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-3","03/24/19","08:42:27",,"HTTP request completed  {Status Code=200 ,Time taken=642 ms}"
"Information","catalina-exec-3","03/24/19","08:42:41",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-3","03/24/19","08:42:42",,"HTTP request completed  {Status Code=200 ,Time taken=648 ms}"
"Information","catalina-exec-5","03/24/19","08:42:53",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-5","03/24/19","08:42:53",,"HTTP request completed  {Status Code=200 ,Time taken=664 ms}"
"Information","catalina-exec-2","03/24/19","08:43:48",,"Starting HTTP request {URL='http://www.adobe.com:80/go/coldfusion-updates', method='get'}"
"Information","catalina-exec-2","03/24/19","08:43:49",,"HTTP request completed  {Status Code=200 ,Time taken=903 ms}"
