"Severity","ThreadID","Date","Time","Application","Message"
"Information","pool-2-thread-1","03/23/19","20:43:56",,"C:\ColdFusion10\cfusion\logs\server.log initialized"
"Information","pool-2-thread-1","03/23/19","20:43:56",,"Starting logging..."
"Information","pool-2-thread-1","03/23/19","20:43:56",,"Starting license..."
"Information","pool-2-thread-1","03/23/19","20:43:57",,"Invalid ColdFusion 10 license."
"Information","pool-2-thread-1","03/23/19","20:43:57",,"Invalid ColdFusion 10 license."
"Information","pool-2-thread-1","03/23/19","20:43:57",,"Invalid ColdFusion 10 license."
"Information","pool-2-thread-1","03/23/19","20:43:57",,"Developer Edition enabled"
"Information","pool-2-thread-1","03/23/19","20:43:57",,"Starting crypto..."
"Information","pool-2-thread-1","03/23/19","20:43:57",,"Installed JSafe JCE provider: Version 6.0 Crypto-J 6.0, EMC Corporation. JsafeJCE Security Provider (implements RSA, DSA, ECDSA, Diffie-Hellman, ECDH, AES, DES, Triple DES, DESX, RC2, RC4, RC5, PBE, MD2, MD5, RIPEMD160, SHA1, SHA224, SHA256, SHA384, SHA512, HMAC-MD5, HMAC-RIPEMD160, HMAC-SHA1, HMAC-SHA224, HMAC-SHA256, HMAC-SHA384, HMAC-SHA512, FIPS186PRNG, ECDRBG, HMACDRBG, SHA1PRNG, MD5PRNG; RFC 3394, RFC 5649 AES Key Wrap; X.509 CertificateFactory; PKCS12, PKCS15 KeyStore; X.509V1, PKIX, PKIX-SuiteB, PKIX-SuiteBTLS CertPathValidators; X.509V1, PKIX, PKIX-SuiteB, PKIX-SuiteBTLS CertPathBuilders; LDAP, Collection CertStores)"
"Information","pool-2-thread-1","03/23/19","20:43:57",,"Starting security..."
"Information","pool-2-thread-1","03/23/19","20:43:59",,"Starting scheduler..."
"Information","pool-2-thread-1","03/23/19","20:43:59",,"Starting WatchService..."
"Information","pool-2-thread-1","03/23/19","20:43:59",,"Starting debugging..."
"Information","pool-2-thread-1","03/23/19","20:43:59",,"Starting sql..."
"Information","pool-2-thread-1","03/23/19","20:43:59",,"Starting mail..."
"Information","pool-2-thread-1","03/23/19","20:43:59",,"Starting runtime..."
"Information","pool-2-thread-1","03/23/19","20:43:59",,"CORBA Configuration not enabled"
"Information","pool-2-thread-1","03/23/19","20:43:59",,"Starting cron..."
"Information","pool-2-thread-1","03/23/19","20:43:59",,"Starting registry..."
"Information","pool-2-thread-1","03/23/19","20:43:59",,"Starting client..."
"Information","pool-2-thread-1","03/23/19","20:43:59",,"Starting xmlrpc..."
"Information","pool-2-thread-1","03/23/19","20:44:00",,"Starting jaxrs..."
"Information","pool-2-thread-1","03/23/19","20:44:00",,"Starting graphing..."
"Information","pool-2-thread-1","03/23/19","20:44:00",,"Starting solr..."
"Information","pool-2-thread-1","03/23/19","20:44:00",,"Starting archive..."
"Information","pool-2-thread-1","03/23/19","20:44:00",,"Starting document..."
"Information","pool-2-thread-1","03/23/19","20:44:00",,"Starting eventgateway..."
"Information","pool-2-thread-1","03/23/19","20:44:00",,"Starting FlexAssembler..."
"Information","pool-2-thread-1","03/23/19","20:44:00",,"Starting .NET..."
"Information","pool-2-thread-1","03/23/19","20:44:00",,"Starting Monitoring..."
"Information","pool-2-thread-1","03/23/19","20:44:00",,"Starting WebSocket..."
"Information","pool-2-thread-1","03/23/19","20:44:00",,"WebSocket server listens on port: 8575"
"Information","pool-2-thread-1","03/23/19","20:44:00",,"ColdFusion started"
"Information","pool-2-thread-1","03/23/19","20:44:00",,"ColdFusion: application services are now available"
"Information","catalina-exec-2","03/23/19","20:50:54",,"Pool Manager Started"
"Error","catalina-exec-3","03/23/19","20:57:06",,"Could not create connection to database server. Attempted reconnect 3 times. Giving up."
"Error","catalina-exec-3","03/23/19","20:57:10",,"Could not create connection to database server. Attempted reconnect 3 times. Giving up."
"Error","catalina-exec-10","03/23/19","20:59:45",,"Could not create connection to database server. Attempted reconnect 3 times. Giving up."
"Error","catalina-exec-10","03/23/19","20:59:49",,"Could not create connection to database server. Attempted reconnect 3 times. Giving up."
"Error","catalina-exec-10","03/23/19","21:00:10",,"Could not create connection to database server. Attempted reconnect 3 times. Giving up."
"Error","catalina-exec-10","03/23/19","21:00:14",,"Could not create connection to database server. Attempted reconnect 3 times. Giving up."
"Error","catalina-exec-1","03/23/19","21:07:30",,"Could not create connection to database server. Attempted reconnect 3 times. Giving up."
"Error","catalina-exec-1","03/23/19","21:07:34",,"Could not create connection to database server. Attempted reconnect 3 times. Giving up."
"Error","catalina-exec-12","03/23/19","21:08:15",,"Could not create connection to database server. Attempted reconnect 3 times. Giving up."
"Error","catalina-exec-12","03/23/19","21:08:19",,"Could not create connection to database server. Attempted reconnect 3 times. Giving up."
"Error","catalina-exec-10","03/23/19","21:08:47",,"Could not create connection to database server. Attempted reconnect 3 times. Giving up."
"Error","catalina-exec-3","03/23/19","21:13:08",,"[Macromedia][MySQL JDBC Driver][MySQL]Access denied for user 'root'@'localhost' (using password: YES)"
"Error","catalina-exec-3","03/23/19","21:13:08",,"[Macromedia][MySQL JDBC Driver][MySQL]Access denied for user 'root'@'localhost' (using password: YES)"
"Error","catalina-exec-3","03/23/19","21:13:32",,"[Macromedia][MySQL JDBC Driver][MySQL]Access denied for user 'cw3'@'localhost' (using password: YES)"
"Error","catalina-exec-3","03/23/19","21:13:32",,"[Macromedia][MySQL JDBC Driver][MySQL]Access denied for user 'cw3'@'localhost' (using password: YES)"
"Error","catalina-exec-13","03/23/19","21:14:42",,"[Macromedia][MySQL JDBC Driver]Connections to MySQL Community Server are not supported. Please contact MySQL to obtain a MySQL Enterprise or Commercial version."
"Error","catalina-exec-13","03/23/19","21:14:42",,"[Macromedia][MySQL JDBC Driver]Connections to MySQL Community Server are not supported. Please contact MySQL to obtain a MySQL Enterprise or Commercial version."
"Error","catalina-exec-10","03/23/19","21:18:43",,"[Macromedia][MySQL JDBC Driver]Connections to MySQL Community Server are not supported. Please contact MySQL to obtain a MySQL Enterprise or Commercial version."
"Error","catalina-exec-10","03/23/19","21:18:46",,"[Macromedia][MySQL JDBC Driver]Connections to MySQL Community Server are not supported. Please contact MySQL to obtain a MySQL Enterprise or Commercial version."
"Error","catalina-exec-10","03/23/19","21:19:00",,"[Macromedia][MySQL JDBC Driver]Connections to MySQL Community Server are not supported. Please contact MySQL to obtain a MySQL Enterprise or Commercial version."
"Error","catalina-exec-10","03/23/19","21:19:00",,"[Macromedia][MySQL JDBC Driver]Connections to MySQL Community Server are not supported. Please contact MySQL to obtain a MySQL Enterprise or Commercial version."
"Error","catalina-exec-13","03/23/19","21:20:41",,"[Macromedia][MySQL JDBC Driver]Connections to MySQL Community Server are not supported. Please contact MySQL to obtain a MySQL Enterprise or Commercial version."
"Error","catalina-exec-13","03/23/19","21:20:41",,"[Macromedia][MySQL JDBC Driver]Connections to MySQL Community Server are not supported. Please contact MySQL to obtain a MySQL Enterprise or Commercial version."
"Error","catalina-exec-13","03/23/19","21:21:01",,"[Macromedia][MySQL JDBC Driver][MySQL]Access denied for user 'root'@'localhost' (using password: YES)"
"Error","catalina-exec-13","03/23/19","21:21:01",,"[Macromedia][MySQL JDBC Driver][MySQL]Access denied for user 'root'@'localhost' (using password: YES)"
"Error","catalina-exec-3","03/23/19","21:43:44",,"[Macromedia][MySQL JDBC Driver][MySQL]Access denied for user 'root'@'localhost' (using password: YES)"
"Error","catalina-exec-3","03/23/19","21:43:44",,"[Macromedia][MySQL JDBC Driver][MySQL]Access denied for user 'root'@'localhost' (using password: YES)"
"Error","catalina-exec-3","03/23/19","21:43:52",,"[Macromedia][MySQL JDBC Driver][MySQL]Access denied for user 'root'@'localhost' (using password: YES)"
"Information","pool-2-thread-2","03/23/19","21:47:54",,"ColdFusion stopped"
"Information","pool-2-thread-1","03/23/19","21:48:05",,"Starting logging..."
"Information","pool-2-thread-1","03/23/19","21:48:05",,"Starting license..."
"Information","pool-2-thread-1","03/23/19","21:48:06",,"Invalid ColdFusion 10 license."
"Information","pool-2-thread-1","03/23/19","21:48:06",,"Invalid ColdFusion 10 license."
"Information","pool-2-thread-1","03/23/19","21:48:06",,"Invalid ColdFusion 10 license."
"Information","pool-2-thread-1","03/23/19","21:48:06",,"Developer Edition enabled"
"Information","pool-2-thread-1","03/23/19","21:48:06",,"Starting crypto..."
"Information","pool-2-thread-1","03/23/19","21:48:06",,"Installed JSafe JCE provider: Version 6.0 Crypto-J 6.0, EMC Corporation. JsafeJCE Security Provider (implements RSA, DSA, ECDSA, Diffie-Hellman, ECDH, AES, DES, Triple DES, DESX, RC2, RC4, RC5, PBE, MD2, MD5, RIPEMD160, SHA1, SHA224, SHA256, SHA384, SHA512, HMAC-MD5, HMAC-RIPEMD160, HMAC-SHA1, HMAC-SHA224, HMAC-SHA256, HMAC-SHA384, HMAC-SHA512, FIPS186PRNG, ECDRBG, HMACDRBG, SHA1PRNG, MD5PRNG; RFC 3394, RFC 5649 AES Key Wrap; X.509 CertificateFactory; PKCS12, PKCS15 KeyStore; X.509V1, PKIX, PKIX-SuiteB, PKIX-SuiteBTLS CertPathValidators; X.509V1, PKIX, PKIX-SuiteB, PKIX-SuiteBTLS CertPathBuilders; LDAP, Collection CertStores)"
"Information","pool-2-thread-1","03/23/19","21:48:06",,"Starting security..."
"Information","pool-2-thread-1","03/23/19","21:48:07",,"Starting scheduler..."
"Information","pool-2-thread-1","03/23/19","21:48:07",,"Starting WatchService..."
"Information","pool-2-thread-1","03/23/19","21:48:07",,"Starting debugging..."
"Information","pool-2-thread-1","03/23/19","21:48:07",,"Starting sql..."
"Information","pool-2-thread-1","03/23/19","21:48:07",,"Pool Manager Started"
